2024-08-10 10:59:54,"호호 부는 튜브","파산여부 답 선형회귀 맞나요 "
2024-08-10 10:59:58,"권투하는 무지","아니 근데 이거 3일의전사 쌉가능인데요?"
2024-08-10 11:00:01,"파이팅팅","그이까요"
2024-08-10 11:00:03,"권투하는 무지","60은 충분히 나올듯"
2024-08-10 11:00:04,"부끄러운 어피치","저는 이거 했어요…."
2024-08-10 11:00:05,"가즈아","EM 알고리즘 
향상도
Mallcow cp. (2번)
alpha (p value 아님) 
무조건 제거 아님
후진선택법은 상수암을때까지 제거히는게아님(정답 2)
공통저변 문제는 공통(누구나접속)  이거하나만. 쉬움
전략적중요도
최적화 (도활확최)
insight (통찰)
엘보우계수
분산감소량 (분류모델 로직아닌것)
사과는 4/10
Apriori는 적정 지지도 기반에서 분석하는것
시그모이드가 아님
질변 9/20
t통계량 1번 
speed 
선형회귀 (분류모델이아님)"
2024-08-10 11:01:20,"문과기계","3과목 1,2번 답먼가요"
2024-08-10 11:01:20,"하트뽀뽀 어피치","2과목 1번 답 먼가요"
2024-08-10 11:01:24,"엄지척 어피치","분석 프로젝트요!"
2024-08-10 11:01:24,"울고있는 어피치","Api아니에요?"
2024-08-10 11:01:31,"신난 어피치","ar1 ar2 뭔가요??"
2024-08-10 11:01:31,"Okddori","눼..?"
2024-08-10 11:01:31,"엄지척 프로도","엄지척 프로도님이 나갔습니다."
2024-08-10 11:01:32,"일하기 싫은 네오","Apri뭐시기알고리즘인가 그건답뭐죠ㅠ"
2024-08-10 11:01:33,"부끄러운 어피치","ㅠㅠ"
2024-08-10 11:01:35,"가즈아","사진"
2024-08-10 11:01:36,"우성","광의의 분석 플랫폼 : 분석 서비스 제공엔진, 분석 어플리케이션, 분석 서비스 제공 API

협의의 분석 플랫폼 : 데이터 처리 Framework, 분석엔진, 분석 라이브러리


"
2024-08-10 11:01:36,"가즈아","최적화임"
2024-08-10 11:01:38,"선풍기 바람 쐬는 어피치","당연히 api인줄 .."
2024-08-10 11:01:38,"비옷입은 튜브","비옷입은 튜브님이 들어왔습니다."
2024-08-10 11:01:38,"문과기계","3과목 2번문제 이상치 답먼가요"
2024-08-10 11:01:46,"Okddori","ㅋㅋㅋㅋㅋ죄송함다 기억이 안나요"
2024-08-10 11:01:46,"가즈아","확산이라고하시는분들은
중정확도  이거로 헷갈리시는듯"
2024-08-10 11:01:48,"문과기계","이상치 답"
2024-08-10 11:01:48,"신나는 프로도","모르는 거 다 3번으로 찍었는데 몇번이 가장 많이 나놨어요…?"
2024-08-10 11:01:48,"부끄러운 어피치","이것도 궁금해요!"
2024-08-10 11:01:49,"초롱초롱 어피치","초롱초롱 어피치님이 들어왔습니다."
2024-08-10 11:01:52,"코파","Ar은 마지막??"
2024-08-10 11:01:55,"빈털터리 제이지","빈털터리 제이지님이 들어왔습니다."
2024-08-10 11:01:59,"선풍기 바람 쐬는 어피치","확산 아님 .. ? ㅠ "
2024-08-10 11:01:59,"가즈아","ar1 한개 ar2 두개"
2024-08-10 11:02:00,"일하기 싫은 네오","지지도 향상도 이건 답뭐에요ㅠㅠ49번"
2024-08-10 11:02:01,"울고있는 어피치","ar 3번 아닌가"
2024-08-10 11:02:01,"문과기계","이상치 답 4번인가요? 분석만하지말라는거"
2024-08-10 11:02:01,"코파","몇라원"
2024-08-10 11:02:04,"코파","몇차원"
2024-08-10 11:02:06,"Okddori","최적화 개처럼 틀럈다"
2024-08-10 11:02:06,"울고있는 어피치","1번 2번"
2024-08-10 11:02:08,"울고있는 어피치","많이 나옴용"
2024-08-10 11:02:10,"코파","1차원이냐 2차원이냐"
2024-08-10 11:02:10,"신나는 프로도","사진"
2024-08-10 11:02:11,"아이스크림 든 네오","아이스크림 든 네오님이 나갔습니다."
2024-08-10 11:02:12,"울고있는 어피치","49번 4번"
2024-08-10 11:02:15,"부끄러운 어피치","기출에 확산이 답인 문제 있었는데 오늘 문제보다 훨씬 뉘앙스가 약했어요 "
2024-08-10 11:02:17,"운동하는 라이언","운동하는 라이언님이 들어왔습니다."
2024-08-10 11:02:18,"엄지척 어피치","신뢰도 아녜여?"
